Seguimiento de la demanda de energía eléctrica (MW)

Hora,Real,Prevista,Programada
"2025-04-27 21:00","27386","27894","27939",
"2025-04-27 21:05","27868","28368","27939",
"2025-04-27 21:10","28254","28661","27939",
"2025-04-27 21:15","28301","28774","28583",
"2025-04-27 21:20","28718","28798","28583",
"2025-04-27 21:25","28946","28827","28583",
"2025-04-27 21:30","28920","28860","28815",
"2025-04-27 21:35","28745","28868","28815",
"2025-04-27 21:40","28539","28819","28815",
"2025-04-27 21:45","28547","28714","28761",
"2025-04-27 21:50","28493","28597","28761",
"2025-04-27 21:55","28697","28509","28761",
"2025-04-27 22:00","28453","28507","28285",
"2025-04-27 22:05","28588","28435","28285",
"2025-04-27 22:10","28342","28303","28285",
"2025-04-27 22:15","28284","28112","27963",
"2025-04-27 22:20","27878","27888","27963",
"2025-04-27 22:25","27837","27661","27963",
"2025-04-27 22:30","27200","27428","27404",
"2025-04-27 22:35","26962","27200","27404",
"2025-04-27 22:40","27125","26984","27404",
"2025-04-27 22:45","27020","26780","26495",
"2025-04-27 22:50","26895","26546","26495",
"2025-04-27 22:55","26504","26240","26495",
"2025-04-27 23:00","26404","25816","25474",
"2025-04-27 23:05","26009","25445","25474",
"2025-04-27 23:10","25700","25162","25474",
"2025-04-27 23:15","25402","24969","25061",
"2025-04-27 23:20","25400","24819","25061",
"2025-04-27 23:25","25315","24664","25061",
"2025-04-27 23:30","25256","24506","24364",
"2025-04-27 23:35","24796","24350","24364",
"2025-04-27 23:40","24708","24205","24364",
"2025-04-27 23:45","24372","24069","23967",
"2025-04-27 23:50","24133","23954","23967",
"2025-04-27 23:55","23976","23871","23967",
"2025-04-28 00:00","23921","23688","23248",
"2025-04-28 00:05","23694","23636","23248",
"2025-04-28 00:10","23620","23551","23248",
"2025-04-28 00:15","23485","23435","23043",
"2025-04-28 00:20","23618","23308","23043",
"2025-04-28 00:25","23569","23191","23043",
"2025-04-28 00:30","23456","23085","22748",
"2025-04-28 00:35","23324","22984","22748",
"2025-04-28 00:40","22976","22882","22748",
"2025-04-28 00:45","22614","22779","22648",
"2025-04-28 00:50","22613","22677","22648",
"2025-04-28 00:55","22655","22579","22648",
"2025-04-28 01:00","22606","22369","21802",
"2025-04-28 01:05","22634","22278","21802",
"2025-04-28 01:10","22374","22188","21802",
"2025-04-28 01:15","22312","22098","21901",
