Estructura de generación (MW)

Hora,Eólica,Nuclear,Carbón,Ciclo combinado,Intercambios int,Solar fotovoltaica,Solar térmica,Térmica renovable,Motores diésel,Turbina de gas,Turbina de vapor,Generación auxiliar,Cogeneración y residuos,Andorra exportación,Marruecos exportación,Portugal exportación,Francia exportación,Francia importación,Portugal importación,Marruecos importación,Andorra importación,Hidráulica
"2025-04-28 21:00","1652","0","0","3454","1665","2855","510","548","385","220","169","0","520","0","0","-17","0","934","0","775","0","4704",
"2025-04-28 21:05","1650","0","0","3477","1657","2644","510","550","385","221","174","0","513","0","0","-7","0","968","0","724","0","4846",
"2025-04-28 21:10","1650","0","0","3483","1912","2526","510","550","388","216","176","0","516","0","0","0","0","1039","11","868","0","4836",
"2025-04-28 21:15","1640","0","0","3522","1759","2330","510","550","387","205","180","0","503","0","0","0","0","1019","2","768","0","4817",
"2025-04-28 21:20","1640","0","0","3611","1714","2322","510","550","390","198","184","0","505","0","0","-3","0","1001","0","704","0","4809",
"2025-04-28 21:25","1641","0","0","3680","1394","2320","510","550","392","196","185","0","509","0","0","-17","0","808","0","605","0","4985",
"2025-04-28 21:30","1656","0","0","3709","1151","2319","510","550","392","205","186","0","510","0","0","-3","0","714","0","435","0","5147",
"2025-04-28 21:35","1653","0","0","3745","980","2324","510","550","392","208","185","0","506","0","0","-18","0","668","0","344","0","5254",
"2025-04-28 21:40","1624","0","0","3760","1020","2324","510","550","397","208","185","0","505","0","0","-17","0","731","0","306","0","5262",
"2025-04-28 21:45","1642","0","0","3789","994","2324","510","550","401","210","186","0","505","0","0","-23","0","723","0","274","0","5301",
"2025-04-28 21:50","1622","0","0","3889","1048","2324","510","550","400","207","187","0","505","0","0","-20","0","782","0","268","0","5300",
"2025-04-28 21:55","1617","0","0","3971","1158","2315","510","550","393","208","187","0","487","0","0","-27","0","868","0","293","0","5285",
"2025-04-28 22:00","1710","0","0","4069","1012","2275","510","550","383","207","187","0","480","0","0","0","0","766","31","251","0","5346",
"2025-04-28 22:05","1647","0","0","4086","1109","2270","510","548","384","206","189","0","491","0","0","-10","0","746","0","387","0","5527",
"2025-04-28 22:10","1651","0","0","4144","1154","2261","510","548","381","204","193","0","492","0","0","0","0","795","6","348","0","5493",
"2025-04-28 22:15","1654","0","0","4193","1269","2259","510","548","378","204","195","0","490","0","0","0","0","780","33","327","0","5475",
"2025-04-28 22:20","1631","0","0","4226","1485","2257","510","548","378","201","196","0","472","0","0","0","0","780","33","327","0","5523",
"2025-04-28 22:25","1633","0","0","4281","1546","2257","510","548","375","201","195","0","446","0","0","0","0","780","33","327","0","5462",
"2025-04-28 22:30","1630","0","0","4414","1458","2257","510","548","375","199","195","0","433","0","0","0","0","780","33","327","0","5419",
"2025-04-28 22:35","1535","0","0","4519","1092","2257","510","548","370","197","194","0","412","0","0","0","0","780","33","327","0","5523",
"2025-04-28 22:40","1436","0","0","4584","1042","2194","510","548","369","197","195","0","413","0","0","0","0","780","33","327","0","5510",
"2025-04-28 22:45","1433","0","0","4630","949","2194","510","548","366","195","195","0","414","0","0","0","0","780","33","327","0","5542",
"2025-04-28 22:50","1436","0","0","4680","771","2194","510","551","360","186","195","0","413","0","0","0","0","780","33","327","0","5541",
"2025-04-28 22:55","1436","0","0","4768","730","2194","510","551","359","181","194","0","413","0","0","0","0","780","33","327","0","5538",
