Estructura de generación (MW)

Hora,Eólica,Nuclear,Carbón,Ciclo combinado,Intercambios int,Solar fotovoltaica,Solar térmica,Térmica renovable,Motores diésel,Turbina de gas,Turbina de vapor,Generación auxiliar,Cogeneración y residuos,Andorra exportación,Marruecos exportación,Portugal exportación,Francia exportación,Francia importación,Portugal importación,Marruecos importación,Andorra importación,Hidráulica
"2025-05-02 21:00","5206","1417","186","7004","1928","255","268","473","381","95","122","0","1577","-10","-524","0","-334","0","1843","0","0","6859",
"2025-05-02 21:05","5199","1418","186","7317","1784","168","223","476","383","95","122","0","1578","-9","-257","0","0","146","1976","0","0","7011",
"2025-05-02 21:10","5156","1419","186","7520","1420","106","204","476","384","94","126","0","1575","-9","-372","0","0","288","1951","0","0","7080",
"2025-05-02 21:15","5156","1418","186","7651","1293","78","195","476","387","93","131","0","1581","-9","-470","0","0","326","1969","0","0","7258",
"2025-05-02 21:20","5223","1419","186","7766","1816","58","184","478","387","91","132","0","1580","-8","-472","0","-3","0","1929","0","0","7015",
"2025-05-02 21:25","5221","1418","186","7815","1485","54","171","478","391","91","132","0","1574","-8","-421","0","0","235","1956","0","0","7102",
"2025-05-02 21:30","5252","1421","188","7827","1374","52","160","478","392","92","131","0","1573","-8","-453","0","0","347","1988","0","0","7266",
"2025-05-02 21:35","5275","1419","187","7703","1445","51","142","478","393","89","135","0","1580","-7","-474","0","0","257","1981","0","0","7407",
"2025-05-02 21:40","5271","1419","186","7618","1513","47","143","478","397","91","140","0","1579","-6","-483","0","0","157","1958","0","0","7421",
"2025-05-02 21:45","5219","1420","186","7480","1543","47","143","478","396","90","146","0","1575","-7","-453","0","0","202","1983","0","0","7384",
"2025-05-02 21:50","5168","1420","186","7283","1932","46","137","486","398","89","152","0","1570","-6","-520","0","-229","0","1926","0","0","7321",
"2025-05-02 21:55","5133","1420","186","7130","2051","46","139","486","399","91","154","0","1570","-6","-528","0","-447","0","1867","0","0","7179",
"2025-05-02 22:00","5165","1420","187","7073","1902","46","132","486","398","89","155","0","1572","-8","-582","0","-285","0","1948","0","0","7251",
